rank,player,points
1811,144788,1
1811,211791,1
1811,209913,1
1811,131990,1
1811,212035,1
1811,206325,1
1811,210448,1
1811,209094,1
1811,208355,1
1811,208504,1
1879,210681,1
1879,208785,1
1879,206738,1
1879,205831,1
1879,210514,1
1879,133185,1
1879,211660,1
1879,210196,1
1879,210651,1
1879,208853,1
1879,209090,1
1879,211364,1
1879,209391,1
1879,210035,1
1879,211661,1
1879,207684,1
1879,210188,1
1879,211484,1
1879,210743,1
1879,209925,1
1879,209202,1
1879,210139,1
1879,132433,1
1879,106041,1
1879,211469,1
1879,210560,1
1879,202316,1
1879,210455,1
1879,210204,1
1879,211747,1
1879,202120,1
1879,210192,1
1879,208864,1
1879,207587,1
1879,109946,1
1879,210611,1
1879,202435,1
1879,212086,1
1879,210645,1
1879,210537,1
1879,210627,1
1879,200045,1
1879,207814,1
1879,207578,1
1879,210209,1
1879,210322,1
1879,210347,1
1879,210704,1
1879,207938,1
1879,144803,1
1879,208611,1
1879,210205,1
1931,209041,1
1931,210503,1
1931,210657,1
1931,211564,1
1931,210683,1
1931,126502,1
1931,105217,1
1931,210003,1
1931,210697,1
1931,209981,1
1931,211519,1
1931,210436,1
1931,105662,1
1931,210734,1
1931,210670,1
1931,102060,1
1931,208370,1
1931,210735,1
1931,210411,1
1931,210272,1
1931,206479,1
1931,209346,1
1931,209877,1
1931,206739,1
1931,208365,1
1931,131500,1
1931,209075,1
1931,208816,1
1931,144874,1
1931,211455,1
1961,210471,1
1961,210037,1
1961,210063,1
1961,210752,1
1961,210281,1
1961,200199,1
1961,207980,1
1961,210313,1
1961,133946,1
1961,105102,1
1961,207759,1
1961,144813,1
1961,208083,1
1961,210394,1
1961,211336,1
1961,201903,1
1961,209965,1
1961,207864,1
1961,134120,1
1961,105178,1
1961,205862,1
1961,122617,1
1961,210111,1
1961,211325,1
1961,209362,1
1961,209513,1
1987,210110,1
1987,211453,1
1987,206430,1
1987,210607,1
1987,202326,1
1987,210589,1
1987,125843,1
1987,210072,1
1987,210602,1
1987,212059,1
1997,210268,1
1997,211495,1
1997,208314,1
1997,209253,1
1997,210660,1
1997,210090,1
2003,209955,1
2003,202217,1
2003,210456,1
2003,210328,1
2003,210214,1
2003,200166,1
2009,211557,1
2009,210649,1
